,Darija,MSA
107,أه والاكين الترجاما كانت غالطا,نعم ولكن الترجمة كانت خاطئة
108,واش كايبالّيك أنّاها هيا تحت الضاغط من لمودير ديالها?,هل تشعر أنها هي نفسها تحت ضغط من مديرها؟
109,كايعجبني بزّاف.,أنا أعجب به كثيرًا.
110,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها.,ربما هي قلقة باستمرار من عدم تحقيق أهدافها.
111,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك?,هل لديك زملاء يشعرون بالتوتر مثلك؟
112,شف ديالك مرا أُلّا راجل?,هل مديرك امرأة أم رجل؟
113,تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا.,أعتقد أننا جميعًا متوترون وفي الوقت نفسه جميعًا نُعجب بها.
114,"مرا, تايبالّيا",سيدة، أعتقد.
115,"ڭلتها ليك, راه مرا.",قلت لك، إنها امرأة.
116,زوينا بزّاف,جميلة جدًا
117,والاكين لمولاحاضات ديالو ديما مبرّرين.,لكن مراجعاته دائمًا ما تكون مبررة.
118,فاش تانكون معطّل شويا أُلّا ماتانديرش شي حاجة بغاتها,عندما أتأخر قليلاً أو لا أفعل ما تريده
119,حقّقت ل أهداف ديالي.,لقد أصبت أهدافي.
120,"تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان.",أعمل كثيرًا، مما يتيح لي أداء عملي بشكل صحيح.
121,"ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?",قل لي، هل أنت قادر على أداء عملك بثقة؟
122,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?,هل تشعر بعدم القدرة على الوصول إلى الأهداف المتوقعة؟
123,تانهضر علا لمودير ديال لمصلاحا ديالي,أنا أتحدث عن مدير قسمي
124,"أه, كاينا.",نعم، هو كذلك.
125,ماكاتّسامحش معا لبسالا,هي لا تتحمل الرتابة.
126,أيه أمولاي,نعم، سيدي.
127,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم?,هل يوجد نساء حولك تجدهن صعبات المعاملة؟
128,فلخدما ديالك أُلّا علا برّا,في عملك أو في مكان آخر
129,"أه, فهمتك.",نعم، أنا أفهم.
130,"اللا, التا حاجة ماغريبا, فناضاري.",لا، لا شيء مميز، أعتقد.
131,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران?,هل مررت بأية تجارب غير عادية أو مزعجة مؤخرًا؟
132,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها,أشياء تشعر أنها ربما تكون نتجت عن شيء قمت به
133,طابعان اللا.,بالطبع لا.
134,كايبالّيك أنا كانحماق?,أتظن أنني أجن؟
135,"اللا, التا واهد ماكانعارفو.",لا، لا أعرف أحداً.
136,"ختك, لواليدا ديالك, شي صاديق?",أختك، أمك، صديقة؟
137,تقدر تجبد شي واهد كاتعارفو?,هل تستطيع التعرف على أي شخص تعرفه؟
138,ديما نفس الصوت?,هل هي دائمًا نفس الصوت؟
139,"غاليبان, باش إنتاقدوني",غالبًا، الأمر لانتقادي.
140,صوت ديال لعيالات هوا لي مرّا مرّا كايعلّق علا داكشي اللي كاندير.,صوت أنثوي يعلق أحيانًا على ما أقوم به.
141,"شي شهورا هادو, بعد لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهدر فوست راسي",لبضعة أشهر، أحيانًا أشعر وكأنني أسمع صوتًا يتحدث في رأسي.
142,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا,أنا هنا لأراك لأنني لا أفهم ما يحدث لي
143,كيفاش نقدر نعاونك?,كيف يمكنني مساعدتك؟
144,كانضنّ هادي أوّال مرّا كانتلاقاو.,أعتقد أن هذه هي المرة الأولى التي نلتقي فيها.
145,بسلاما,وداعاً
146,عاود دوز ألا باقي عندك شي أسإلا.,لا تتردد في العودة إذا كان لديك أسئلة أخرى.
147,مرحبا.,على الرحب والسعة.
148,دابا نصيفتها ليك أُقتمّا كملات.,سأرسله إليك فور انتهائه.
149,لايسّر.,بالتوفيق.
150,ناضي.,مثالي.
151,كانواعدك.,أعدك.
152,والاكين خسّك تحتارم هاد لوقت الجديد,ولكن يجب عليك احترام ذلك الموعد النهائي الجديد
153,"واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?",هل يمكنك منحي تمديدًا للموعد النهائي، لنقل أسبوعين آخرين؟
154,2000 كلما,ألفا كلمة
155,شحال من كلما فشي فقرا صغيرا?,كم عدد الكلمات في فقرة قصيرة؟
156,"هادشي الصاراحا كايعاونّي نفكّر ف أش خسّني نكتب, لايحفدك",هذا يساعدني حقًا على التفكير فيما أحتاج إلى كتابته، شكرًا لك.
157,أش وقع فداك لوقت?,ماذا حدث في ذلك الوقت؟
158,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?,هل أقدم المقال بشكل واقعي أم أتخذ وجهة نظر سياسية؟
159,هادشي تايبان موهيمّ.,ذلك قد يكون مثيرًا للاهتمام.
160,يالّاه شفت التاريخ ف ڭوڭل,لقد تحققت للتو من ذلك التاريخ على جوجل
161,"أه, واخا.",آه، حسنًا.
162,إدان أوّال حاجة الديرها هيا تختار,فالشيء الأول الذي تفعله هو الاختيار.
163,هادي تقدر تكون تاريخيا,قد يكون هذا تاريخيًا
164,تانسمعو عليه بزّاف دابا,نحن نسمع الكثير عنه الآن
165,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.,ولكن هناك الكثير من الخيارات للاختيار من بينها.
166,خسّك تبدا بعدا تسووّل عليه,عليك أن تبدأ بالسؤال عنه
167,فسّر أُ عرّف لمايدان,وضح وعرف المجال.
168,نتا لي خسّك تعرّفو.,أنت من يُحدّد ذلك.
169,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?,هل نتحدث عن السياسة البريطانية أم الفرنسية؟
170,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا,طُلِبَ مني كتابة مقال عن السياسة ولكن لا أعرف من أين أبدأ
171,مومكين تشرح شنو اللي مافهمتيش?,هل يمكنك شرح ما لا تفهمه؟
172,التڭال ليا أنّاهو مايمكنش نصوڭ,لقد أُخبرت أنني لا أستطيع القيادة
173,غانخدمو مجموعين,سنعود للعمل معًا
174,"صافي, شي باس ماكاين",حسنًا، هذا جيد
175,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير,لقد واجهت صعوبة كبيرة في فهم ما يجب عليّ فعله
176,"سالام, سمح ليا عطّلت تامارين ديالي",مرحباً، أنا آسف لأن واجبي المنزلي متأخر
177,كمّل -خسّني نمشي دابا.,استمر - يجب أن أذهب الآن.
178,باقي لحال!,إنه مبكر!
179,"أُه, تايبالّيا الضياف اللوولين جايّين",آه، أعتقد أن الضيوف الأوائل قادمون
180,أيه أمولاي.,نعم، سيدي.
181,"كون هاني, والاكين تيقّن أنّاك عارف شنو كاين غدّا",لا تقلق، ولكن تأكد أنك تعرف الأمور على حقيقتها غدًا
182,"أه, السموحات.",نعم، آسف.
183,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,سيتوجب عليك التعرف على المطبخ بشكل أفضل وإلا ستعيقنا جميعًا
184,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا,أعتقد أن هذه هي المرة الأولى التي نستخدم فيها هذا الشيء
185,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا,لا أعرف موقع جميع المكونات بعد
186,"أح, سموحات",آسف
187,ماقدرتش نلقاه!,لا أستطيع العثور عليه!
188,"واخا أمولاي, ماكاينش لموشكيل.",نعم سيدي، لا مشكلة.
189,صحابليك سالينا,ظننت أنه قد انتهى
190,نقدر نقشّر بطاطا.,أستطيع تقشير البطاطس.
191,كايجيب ليا الجوع!,إنه يجعلني جائعًا!
192,راإع.,ممتاز.
193,غانمشي ل طانجا,سأذهب إلى طنجة
194,أش بالّيك فلاخور?,ماذا عن الآخر؟
195,هادشي كايبان مزيان.,ذلك يجب أن يكون جيدًا.
196,عافاك ماتنساش تنقّي لبلاصا مورا ماتسالي,يرجى تذكر ترتيب المكان بعد الانتهاء
197,ماكاين باس,ذلك جيد
198,"غانبدا بل بسباس, كاياخود لوقت",سأبدأ بالشمر، فهو يأخذ وقتًا أطول
199,الله إرحم ليك لواليدين,رحم الله والديك
200,الله إخلّي ليك ماعزّ عليك,فليحمِ الله أحبائك
201,اللاه إعاونك,الله يعينك
202,"أه, ماكاين التا موشكيل.",نعم، لا مشكلة.
203,واخا تبدا تقطّع لخضرا عافاك,هل يمكنك البدء بتقطيع الخضروات من فضلك
204,أنا بيخير.,أنا بخير.
205,هوما مختالفين فلقدّ أُ فلّون أُ فلماداق,إنها مختلفة الأحجام والألوان والنكهات
206,جبت هاد ماطيشا اللي لقيت ف السوق هاد صباح,جئت بهذه الطماطم التي وجدتها في السوق هذا الصباح
207,كيداير هاد الليلا?,كيف حالك الليلة؟
208,الله إسعد الصاباح أ شريف.,صباح الخير يا سيد.
209,يالاه النقزو أُنحتافلو ب الربح ديالنا,لنقفز ونحتفل بانتصارنا
210,ألا بقينا عايشين إمكن نرجعو لدّار بكري,إذا نجونا ربما نستطيع العودة إلى البيت مبكرًا
211,صافي قنعتيني,حسنًا، لقد أقنعتني
212,هزّ لقرعا فليدّ لوخرا,خذ الزجاجة بيدك الأخرى
213,نسا عليك الدراري راه مشا عليهوم لحال,انسَ الأطفال فقد فات الأوان بالنسبة لهم
214,لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج,الشيء الوحيد الذي أطلب منك فعله هو الاحتفاظ بزجاجة النبيذ الأحمر
215,"سير, الدي معاك جوج براهش, نقّز, أنا غانبقا هنا",اذهب، خذ معك طفلين صغيرين، اقفز، أنا أبقى هنا
216,هادشي تايخلع,إنه مرعب
217,كانحسّ براسي بيّخير,أشعر بتحسن كبير
218,شناهوا?,ماذا؟
219,واش كاتحسّ بيه?,هل تستطيع أن تشعر بذلك؟
220,عاد زيد أنا متءكّد كاينين ناس كايستاحقّو كتر منّي أنّاهوم مايموتوش,علاوة على ذلك، أنا متأكد أن هناك أشخاص يستحقون أكثر مني ألا يموتوا
221,بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس,دعني أتحقق من المظلة لأرى إذا كانت قادرة على حمل شخصين
222,"و صاراحاتان, واش كاتضنّ غايحلّو لبيبان ت طيّارا ويخلّيونا النقّزو?",وبصراحة، هل تعتقد أنهم سيفتحون أبواب الطائرة ويسمحون لنا بالقفز؟
223,دابا ماشي لوقت ديال بحال هاد ل أسإلا,الآن ليس الوقت المناسب لمثل هذه الأسئلة
224,غانّزلو ف پاكيستان,سنهبط في باكستان
225,"والاكين, بلّاتي!",لكن، انتظر!
226,واش إمكن إهزّ جوج تنّاس?,هل يمكنه حمل شخصين؟
227,واش متيقّن?,هل أنت متأكد؟
228,والاكين مالك كاتمشّا أُ لابس ل پاراشوت?,ولكن لماذا تمشي حولك بمظلة؟
229,عنّقني مزيان أُ راه غانهبطو بيسالام مجموعين,احضنني بقوة ويمكننا الهبوط بأمان معًا
230,كانت عندنا فورصا كون طحنا فلبحر,كانت لدينا فرصة إذا تحطمنا في المحيط
231,أهيا أش هادشي,يا له من شيء هذا
232,"عرفتي شنو, من لبلاصا مناش طحنا, ماكاينش شي فرق كبير",أنت تعلم، من حيث نقع، لا يُحدث فارقًا كبيرًا
233,"ماكاين التا بحر تحت منّا, هير پاكيستان",لا يوجد محيط تحتنا، فقط باكستان
234,غانهضرو علا لكسيدا ديالنا فل جاراإد,سنتحدث عن حادثنا في الصحف
235,ياك?,صحيح؟
236,"والاكين عرفتي ماعنداش شي فورصا, ياك?",ولكن أنت تعلم أن ليس لدينا فرصة، أليس كذلك؟
237,ألا نجينا غادي ندير شيكايا ل شاريكا ت طاياران,إذا نجونا سأقدم شكوى إلى شركة الطيران
238,ألا كنّا غانموتو,إذا كنا سنموت
239,والاكين الشراب إمكن فيكرا مزيانا,لكن الشرب ربما يكون فكرة جيدة
240,"أنا بحال بزّاف تنّاس, ماكانأمن ب الله إلّا خمسا تدّقايق قبل النيهايا",أنا مثل أغلب الناس، لا أؤمن بالله إلا قبل خمس دقائق من النهاية
241,واش نصلّيو مجموعين,هل نصلي معًا؟
242,واش كاتأمن ب الله,هل تؤمن بالله؟
243,"علّ أقالّ غاتكون بلخفّ, بلا صداع, سافي?",على الأقل سيكون على الأرجح فوريًا، بدون ألم، أليس كذلك؟
244,غانعاود نشعل تيليفوني عاوتاني,سأقوم بتشغيل هاتفي مجدداً
245,غانڭولّيهوم راه تانحبّهوم,سأخبرهم أنني أحبهم
246,أُلّا تاتڭول داكشي هير باش تضحك عليا?,أم أنك تقول ذلك فقط لتسخر مني؟
247,واش بصّح كاتفكّر هاكّا?,هل حقاً تعتقد ذلك؟
248,ناري هادشي كايخلع,يا إلهي، هذا فظيع
249,مابغيتش خلعكوم والاكين تايبالّيا حنا إمكن غاديين اللهاويا,لا أريد أن أخيفك لكن أعتقد أننا قد نكون على وشك السقوط إلى الموت
250,"السموحات تانبرزطك, والاكين أنا راه مخلوع بصّح",أنا آسف لإزعاجك بهذا، ولكني حقاً خائف
251,ماتانفهم التا زفتا ف الطيّارات والاكين كانتخلع كولّا مرّا تانطير ف السما,لا أعرف أي شيء عن الطائرات، ولكني أشعر بالرعب في كل مرة أطير
252,"واييه, فشكل, تايبان بحالا لموطور خاسر",نعم، هذا غريب، يبدو أن المحرك يعاني من خلل
253,تانسمع حتّا شي مرا كاتغووّت,أستطيع أيضًا سماع سيدة تصرخ
254,"فشكيل, أولّا?",إنه غريب، أليس كذلك؟
255,"سمح ليا, واش كاتسمع هاد الصداع?",عفواً، هل تسمع ذلك الضجيج؟
256,أنا فرحان شويا بي أنّاهو ديالي اللي جاي ماشي ديالك,أنا سعيد جدًا أنه قادم لي وليس لك
257,حنا ف أمان!,نحن في أمان!
258,هاهوا جاي إدّينا دابا.,إنه قادم ليأخذنا الآن.
259,"أُه, هادشي زين",أوه، هذا رائع
260,هاهوا كايصوني....,إنه يرن....
261,"بلموناسابا, أنا ڭاع ماكانعرف نجبد لقيوا السيحريا ديالها",ولكن على فكرة، لا أعرف كيف أستفز قواها السحرية
262,كانقتارح ناكلو لفرماج بل فورشيطا,أقترح أن نأكل الجبنة بالشوكة
263,نقدرو هير ندوورو ل تاشي?,يمكننا فقط الاتصال بسيارة أجرة؟
264,عرفت أنّاكوم كاتهدرو علا لفرامج,أعلم أنك تتحدث عن الجبن
265,ماعندي أدنا فيكرا علا أش كاتڭولو,ليس لدي أي فكرة عما تتحدث عنه
266,وا هووا ڭاع مامڭادّ.,إنه ليس مستقيمًا حتى.
267,وا هوما ڭاع ڭودّو إتنيو لفرشيطا ديالي,حتى أنهم تمكنوا من ثني شوكتي
268,أش كايعني داكشي?,ماذا يعني ذلك؟
269,"ليلأساف, ديالي هي فورشيطا عاديا.",للأسف، الشوكة التي عندي عادية فقط.
270,واش إمكن تكون عندها شي قيوا سيحريا?,هل يمكن أن يكون لديه قوى سحرية؟
271,كايعني أنّاها تصنعات مزيان.,يعني أنه تم تصنيعه بشكل جيد.
272,الصبر...,الصبر...
273,"أُه, إمكن عندي لفورشيطا الزايدا",آه، ربما عندي الشوكة الإضافية!
274,بلّاتي نضرب طليلا,دعني ألقي نظرة
275,كاتقصد أنّا الريحا جايّا من لكادو ديالك?,هل تعني أن هذه الرائحة تأتي من هديتك؟
276,"اللا, مازال ماحلّيتو",لا، لم أفتحه بعد
277,كايطلّعوها علينا!,إنهم يستفزوننا!
278,بلّاتي... أش هادشي اللي عطاوني?,انتظر... ماذا أعطوني؟
279,علاش كنّا نيّا وهدا?,لماذا كنا ساذجين جداً؟
280,لا!,يا لا!
281,بلخاريطا كنّا دغيا غالقاو أسراع طريق ل أحسان رستورا ف السيكتور.,باستخدام الخريطة كنا سنجد بسرعة أسرع طريق إلى أفضل مطعم في المنطقة.
282,حلّيتي ديالك مازال?,هل فتحت الخاص بك بعد؟
283,وا أُ دوك ل كوادووات اللي عطاونا?,ماذا عن الهدايا التي أعطونا إياها؟
284,همّ.,همم.
285,أُ أنا كنت تانضنّ أنّهوم زوينين...,كنت أظن أنهم يبدون جذابين...
286,كانت هاديك هيا طاريقا لواهيدا باش نجعلوهوم إردّو لينا ماكلتنا,كانت هي الطريقة الوحيدة لجعلهم يعيدون إلينا طعامنا
287,جات مكلّخا أنّاك تخسر أُنتا عندك كارطا زوينا!,من الغباء أن نخسر عندما نمتلك ورقة جيدة!
288,شمن كارت ڭويشت علاش بيتينا نخدمو?,ما هي بطاقات الائتمان التي تريد منا العمل عليها؟
289,ماڭلتي عليب.,حسنًا.
290,واش هيا فراسها غاتشوفك?,هل هي تتوقع رؤيتك؟
291,مازال ماشفت ل أُستاد تل فيزيك,لم أرَ مُدرّس الفيزياء بعد
292,أش بالّيك?,ما رأيك؟
293,ماعرفتيش واش ل أُستاد تل فيزيك كاين هنا ليوم?,هل تعلم إذا كان أستاذ الفيزياء موجودًا اليوم؟
294,أش بغيتي تدير ليوما ألا كنّا بوحدنا?,ماذا تريد أن تفعل اليوم إذا كنا وحدنا؟
295,ماعنديش ورقا قديما تل متيحان,ليس لدي ورقة امتحان قديمة
296,"وايه, عشراني مبلوكايين",نعم، رفاقي محظورون
297,كانضنّ كولشي عندو ماشاكيل معا ترانسپورت,أظن أن الجميع يواجهون مشاكل مع وسائل النقل
298,ڭادّيت التامارين بلا التا موشكيل لبارح,أنجزت واجبي البيتي بدون مشكلة أمس
299,واش بدات لحيصّا?,هل بدأت الحصة؟
300,كاتستاحقّها.,أنت تستحقه.
301,كانتمنّا تجيب شي نوقطا مبرّعا,أتمنى أن تحصل على نتيجة جيدة جدًا
302,كان عندك لحقّ فاش خديتي طوموبيل,كنت محقًا في أخذ السيارة
303,"موهيم, كيخدمتي التامارين لبارح فلّيل?",على أي حال، كيف قمت بواجبك المنزلي الليلة الماضية؟
304,جيت ف طوموبيل ليوما باش نتفادا طوبيسات.,جئت اليوم بالسيارة لتجنب الحافلات.
305,زيد عليها أنّاك كنتي معطّل لبارح تاهوا.,إلى جانب ذلك، لقد تأخرت أمس أيضًا.
306,مشا عليا طوبيس,فاتني الحافلة
307,تعطّلتي ليوم تاني. شنو لعودر ديالك ليوم?,أنت متأخر مرة أخرى. ما عذرك اليوم؟
308,"وايه, طهلّا",نعم، وداعاً
309,"شوكران أ مادام, واخا نسيني ورقا تلحوضور هيا لوولا?",شكرًا سيدتي، هل يمكنني التوقيع على ورقة الحضور أولاً؟
